stimuli,category,condition,sound,corpes_norm_spain,outlier,element,mean,median
bacalao,food,plosive,b,7.55,FALSE,word,6.45605263157895,4.855
balde,objects,plosive,b,8.23,FALSE,word,7.26432432432432,6.89
bizcocho,food,plosive,b,6.42,FALSE,word,6.45605263157895,4.855
bocadillo,food,plosive,b,6.86,FALSE,word,6.45605263157895,4.855
boina,objects,plosive,b,2.72,FALSE,word,7.26432432432432,6.89
bol?grafo,objects,plosive,b,8.52,FALSE,word,7.26432432432432,6.89
bombilla,objects,plosive,b,4.77,FALSE,word,7.26432432432432,6.89
bombon,food,plosive,b,4.48,FALSE,word,6.45605263157895,4.855
fabada,food,fricative,f,1.02,FALSE,word,6.45605263157895,4.855
fajitas,food,fricative,f,0.16,FALSE,word,6.45605263157895,4.855
farol,objects,fricative,f,2.23,FALSE,word,7.26432432432432,6.89
ficha,objects,fricative,f,13.79,FALSE,word,7.26432432432432,6.89
fideos,food,fricative,f,7.61,FALSE,word,6.45605263157895,4.855
filete,food,fricative,f,2.8,FALSE,word,6.45605263157895,4.855
filtro,objects,fricative,f,7.88,FALSE,word,7.26432432432432,6.89
fond?e,food,fricative,f,0.26,FALSE,word,6.45605263157895,4.855
funda,objects,fricative,f,7.64,FALSE,word,7.26432432432432,6.89
f?sil,objects,fricative,f,4.13,FALSE,word,7.26432432432432,6.89
mango,food,nasal,m,5.55,FALSE,word,6.45605263157895,4.855
manguera,objects,nasal,m,2.26,FALSE,word,7.26432432432432,6.89
mantequilla,food,nasal,m,15.52,FALSE,word,6.45605263157895,4.855
manzana,food,nasal,m,15.76,FALSE,word,6.45605263157895,4.855
martillo,objects,nasal,m,4.3,FALSE,word,7.26432432432432,6.89
m?scara,objects,nasal,m,10.09,FALSE,word,7.26432432432432,6.89
mazap?n,food,nasal,m,0.66,FALSE,word,6.45605263157895,4.855
mel?n,food,nasal,m,3.09,FALSE,word,6.45605263157895,4.855
monitor,objects,nasal,m,6.89,FALSE,word,7.26432432432432,6.89
mu?eco,objects,nasal,m,5.74,FALSE,word,7.26432432432432,6.89
nachos,food,nasal,n,0.4,FALSE,word,6.45605263157895,4.855
naipes,objects,nasal,n,2.13,FALSE,word,7.26432432432432,6.89
naranja,food,nasal,n,23.56,FALSE,word,6.45605263157895,4.855
nata,food,nasal,n,11.56,FALSE,word,6.45605263157895,4.855
navaja,objects,nasal,n,7.62,FALSE,word,7.26432432432432,6.89
neceser,objects,nasal,n,0.92,FALSE,word,7.26432432432432,6.89
nectarina,food,nasal,n,0.19,FALSE,word,6.45605263157895,4.855
nevera,objects,nasal,n,14.89,FALSE,word,7.26432432432432,6.89
nudo,objects,nasal,n,10.25,FALSE,word,7.26432432432432,6.89
nuez,food,nasal,n,4.24,FALSE,word,6.45605263157895,4.855
paella,food,plosive,p,5.23,FALSE,word,6.45605263157895,4.855
pala,objects,plosive,p,3.96,FALSE,word,7.26432432432432,6.89
paletilla,food,plosive,p,0.46,FALSE,word,6.45605263157895,4.855
palillo,objects,plosive,p,1.42,FALSE,word,7.26432432432432,6.89
pa?uelo,objects,plosive,p,16.14,FALSE,word,7.26432432432432,6.89
paraguas,objects,plosive,p,11.02,FALSE,word,7.26432432432432,6.89
pasas,food,plosive,p,0.96,FALSE,word,6.45605263157895,4.855
pavo,food,plosive,p,5.32,FALSE,word,6.45605263157895,4.855
pincel,objects,plosive,p,3.47,FALSE,word,7.26432432432432,6.89
pollo,food,plosive,p,18.7,FALSE,word,6.45605263157895,4.855
sable,objects,fricative,s,1.91,FALSE,word,7.26432432432432,6.89
salchicha,food,fricative,s,2.46,FALSE,word,6.45605263157895,4.855
salm?n,food,fricative,s,5.53,FALSE,word,6.45605263157895,4.855
sand?a,food,fricative,s,2.27,FALSE,word,6.45605263157895,4.855
sart?n,objects,fricative,s,13.24,FALSE,word,7.26432432432432,6.89
sello,objects,fricative,s,13.97,FALSE,word,7.26432432432432,6.89
setas,food,fricative,s,6.85,FALSE,word,6.45605263157895,4.855
sobre,objects,fricative,s,14.09,FALSE,word,7.26432432432432,6.89
soga,objects,fricative,s,6.52,FALSE,word,7.26432432432432,6.89
sopa,food,fricative,s,13.09,FALSE,word,6.45605263157895,4.855
vinagre,food,plosive,b,11.53,FALSE,word,6.45605263157895,4.855
viol?n,objects,plosive,b,7.35,FALSE,word,7.26432432432432,6.89
