,wordsSentence,
1,Este,
2,El,
3,Ese,
4,Esa,
5,Esta,
6,Las,
7,Los,
8,La,
9,Esos,
10,Esas,
11,xx,
12,bacalao,
13,balde,
14,bizcocho,
15,bocadillo,
16,boina,
17,bolígafo,
18,bombilla,
19,bombón,
20,fabada,
21,fajitas,
22,farol,
23,ficha,
24,fideos,
25,filete,
26,filtro,
27,fondúe,
28,funda,
29,fúsil,
30,mango,
31,manguera,
32,mantequilla,
33,manzana,
34,martillo,
35,máscara,
36,mazapán,
37,melón,
38,monitor,
39,muñeco,
40,nachos,
41,naipes,
42,naranja,
43,nata,
44,navaja,
45,neceser,
46,nectarina,
47,nevera,
48,nudo,
49,nuez,
50,paella,
51,pala,
52,paletilla,
53,palillo,
54,pañuelo,
55,paraguas,
56,pasas,
57,pavo,
58,pincel,
59,pollo,
60,sable,
61,salchicha,
62,salmón,
63,sandía,
64,sartén,
65,sello,
66,setas,
67,sobre,
68,soga,
69,sopa,
70,vinagre,
71,violín,
72,xxxx,
73,xxxxx,
74,xxxxxx,
75,xxxxxxx,
76,xxxxxxxx,
77,xxxxxxxxxxx,
78,con,
79,está,
80,lleva,
81,se,
82,negra,
83,de,
84,son,
85,del,
86,es,
87,necesita,
88,caramelizada,
89,impedía,
90,casero,
91,todavía,
92,muestra,
93,tienen,
94,tiene,
95,líquida,
96,asegura,
97,moscada,
98,chino,
99,lo,
100,añaden,
101,tenía,
102,ancho,
103,en,
104,italiana,
105,ahumado,
106,portobello,
107,va,
108,balsámico,
111,xxxxxxxxx,
112,patatas,
113,lleno,
114,frutas,
115,cayó,
116,le,
117,quedó,
118,parpadeando,
119,relleno,
120,camarones,
121,maiz,
122,gas,
123,ajedrez,
124,mi,
125,marinado,
126,aceite,
127,móvil,
128,asalto,
129,una,
130,un,
131,utiliza,
132,parece,
134,ver,
135,te,
137,imágenes,
138,porcelana,
139,queso,
140,me,
141,afeitar,
142,para,
143,difícil,
144,vacía,
145,fuertemente,
147,sirve,
148,partió,
149,cordero,
151,olvidé,1
152,cubre,
153,salsa,
154,general,
156,pepitas,
157,frasco,
159,digido,
160,hecha,
161,cebollas,
162,concierto,
171,y,
172,al,
174,sin,
176,están,
178,comida,
180,nos,
181,fruta,
182,conector,
184,muy,
185,la,
186,sus,
189,diseño,
190,perfume,
191,gusta,
192,mis,
193,trocea,
194,estampado,
195,sabor,
196,piel,
197,más,
198,estaba,
199,mucho,
201,a,
202,esta,
203,era,
206,xxx,
209,delicioso,
210,hielo,
211,nueces,
212,suelo,
213,bien,
214,tinta,
215,nuevo,
216,licor,
217,exquisita,
218,listas,
219,apagó,
220,movió,
221,favorita,
222,vino,
223,sucio,
224,extravió,
225,aterroriza,
226,cara,
227,cocinar,
228,sabrosa,
229,mesa,
230,ojos,
231,inmaduro,
232,borrosas,
233,frágil,
234,irresistibles,
235,particular,
236,agradable,
238,desgastada,
239,cosméticos,
240,pelar,
241,barco,
242,facilmente,
243,cazuelas,
244,dos,
245,popular,
246,delgado,
247,elegante,
248,casa,
249,dulce,
250,crujiente,
251,área,
252,exquisito,
253,oxidado,
255,favorito,
256,tiernas,
257,roto,
258,carnosas,
259,ti,
260,cáñamo,
261,sabroso,
262,extraordinario,
267,xxxxxxxxxx,
